"filename", "language", "C#", "HLSL", "JSON", "ShaderLab", "comment", "blank", "total"
"e:\Unity Projects\Craven2\Assets\Scripts\General Scripts\PlayAnimations.cs", "C#", 110, 0, 0, 0, 6, 24, 140
"e:\Unity Projects\Craven2\Assets\Scripts\General Scripts\RoomMonitor.cs", "C#", 18, 0, 0, 0, 0, 5, 23
"e:\Unity Projects\Craven2\Assets\Scripts\General Scripts\Shaker.cs", "C#", 85, 0, 0, 0, 1, 19, 105
"e:\Unity Projects\Craven2\Assets\Scripts\HostClasses\Ghost.cs", "C#", 77, 0, 0, 0, 6, 19, 102
"e:\Unity Projects\Craven2\Assets\Scripts\HostClasses\Human.cs", "C#", 311, 0, 0, 0, 18, 84, 413
"e:\Unity Projects\Craven2\Assets\Scripts\HostClasses\Worm.cs", "C#", 130, 0, 0, 0, 6, 30, 166
"e:\Unity Projects\Craven2\Assets\Scripts\Interfaces\Sounds.cs", "C#", 8, 0, 0, 0, 0, 3, 11
"e:\Unity Projects\Craven2\Assets\Scripts\Items\Arrow.cs", "C#", 86, 0, 0, 0, 3, 22, 111
"e:\Unity Projects\Craven2\Assets\Scripts\Items\ArrowPickup.cs", "C#", 15, 0, 0, 0, 0, 2, 17
"e:\Unity Projects\Craven2\Assets\Scripts\Items\ArrowTrap.cs", "C#", 54, 0, 0, 0, 1, 12, 67
"e:\Unity Projects\Craven2\Assets\Scripts\Items\BowPickup.cs", "C#", 53, 0, 0, 0, 13, 13, 79
"e:\Unity Projects\Craven2\Assets\Scripts\Items\Chest.cs", "C#", 101, 0, 0, 0, 3, 17, 121
"e:\Unity Projects\Craven2\Assets\Scripts\Items\CoinPickup.cs", "C#", 18, 0, 0, 0, 0, 6, 24
"e:\Unity Projects\Craven2\Assets\Scripts\Items\DashPickup.cs", "C#", 14, 0, 0, 0, 0, 3, 17
"e:\Unity Projects\Craven2\Assets\Scripts\Items\DropLoot.cs", "C#", 29, 0, 0, 0, 0, 11, 40
"e:\Unity Projects\Craven2\Assets\Scripts\Items\GoldArrow.cs", "C#", 44, 0, 0, 0, 0, 10, 54
"e:\Unity Projects\Craven2\Assets\Scripts\Items\GoldBowPickup.cs", "C#", 80, 0, 0, 0, 6, 20, 106
"e:\Unity Projects\Craven2\Assets\Scripts\Items\HealthPotion.cs", "C#", 27, 0, 0, 0, 1, 5, 33
"e:\Unity Projects\Craven2\Assets\Scripts\Items\RuneTrigger.cs", "C#", 26, 0, 0, 0, 0, 8, 34
"e:\Unity Projects\Craven2\Assets\Scripts\Items\ShortBow.cs", "C#", 29, 0, 0, 0, 3, 10, 42
"e:\Unity Projects\Craven2\Assets\Scripts\Items\Sword.cs", "C#", 13, 0, 0, 0, 1, 5, 19
"e:\Unity Projects\Craven2\Assets\Scripts\Items\TrapArrow.cs", "C#", 98, 0, 0, 0, 6, 33, 137
"e:\Unity Projects\Craven2\Assets\Scripts\Items\arrowTurret.cs", "C#", 56, 0, 0, 0, 0, 17, 73
"e:\Unity Projects\Craven2\Assets\Scripts\OldScripts\GhostAI.cs", "C#", 140, 0, 0, 0, 3, 48, 191
"e:\Unity Projects\Craven2\Assets\Scripts\OldScripts\PuzzleChest.cs", "C#", 44, 0, 0, 0, 0, 6, 50
"e:\Unity Projects\Craven2\Assets\Scripts\OldScripts\WormAI.cs", "C#", 97, 0, 0, 0, 2, 35, 134
"e:\Unity Projects\Craven2\Assets\Scripts\Player\Dash.cs", "C#", 70, 0, 0, 0, 5, 13, 88
"e:\Unity Projects\Craven2\Assets\Scripts\Player\PlayerCombat.cs", "C#", 96, 0, 0, 0, 1, 23, 120
"e:\Unity Projects\Craven2\Assets\Scripts\Player\PlayerMovement.cs", "C#", 126, 0, 0, 0, 4, 28, 158
"e:\Unity Projects\Craven2\Assets\Scripts\Player\PlayerStats.cs", "C#", 0, 0, 0, 0, 80, 25, 105
"e:\Unity Projects\Craven2\Assets\Scripts\Rooms\AddRoom.cs", "C#", 234, 0, 0, 0, 6, 32, 272
"e:\Unity Projects\Craven2\Assets\Scripts\ShakeTester.cs", "C#", 15, 0, 0, 0, 0, 4, 19
"e:\Unity Projects\Craven2\Assets\Scripts\Sounds\Sound.cs", "C#", 15, 0, 0, 0, 0, 5, 20
"e:\Unity Projects\Craven2\Assets\Scripts\UI\ArrowDisplay.cs", "C#", 12, 0, 0, 0, 0, 5, 17
"e:\Unity Projects\Craven2\Assets\Scripts\UI\CoinDisplay.cs", "C#", 12, 0, 0, 0, 0, 4, 16
"e:\Unity Projects\Craven2\Assets\Scripts\UI\DamagePopup.cs", "C#", 53, 0, 0, 0, 2, 13, 68
"e:\Unity Projects\Craven2\Assets\Scripts\UI\LevelLoader.cs", "C#", 40, 0, 0, 0, 5, 14, 59
"e:\Unity Projects\Craven2\Assets\ShopItemTrigger.cs", "C#", 90, 0, 0, 0, 3, 32, 125
"e:\Unity Projects\Craven2\Assets\SpeachBubble.cs", "C#", 66, 0, 0, 0, 2, 18, 86
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01.cs", "C#", 63, 0, 0, 0, 29, 37, 129
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01_UGUI.cs", "C#", 59, 0, 0, 0, 37, 40, 136
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark02.cs", "C#", 63, 0, 0, 0, 6, 27, 96
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark03.cs", "C#", 73, 0, 0, 0, 1, 19, 93
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark04.cs", "C#", 41, 0, 0, 0, 26, 19, 86
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\CameraController.cs", "C#", 198, 0, 0, 0, 25, 69, 292
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\ChatController.cs", "C#", 25, 0, 0, 0, 2, 18, 45
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\DropdownSample.cs", "C#", 15, 0, 0, 0, 0, 5, 20
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\EnvMapAnimator.cs", "C#", 23, 0, 0, 0, 4, 9, 36
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\ObjectSpin.cs", "C#", 50, 0, 0, 0, 4, 15, 69
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\ShaderPropAnimator.cs", "C#", 33, 0, 0, 0, 5, 14, 52
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\SimpleScript.cs", "C#", 24, 0, 0, 0, 17, 21, 62
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\SkewTextExample.cs", "C#", 95, 0, 0, 0, 18, 46, 159
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_DigitValidator.cs", "C#", 19, 0, 0, 0, 5, 4, 28
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_ExampleScript_01.cs", "C#", 37, 0, 0, 0, 9, 19, 65
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_FrameRateCounter.cs", "C#", 91, 0, 0, 0, 11, 33, 135
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_PhoneNumberValidator.cs", "C#", 93, 0, 0, 0, 7, 6, 106
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventCheck.cs", "C#", 56, 0, 0, 0, 1, 17, 74
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventHandler.cs", "C#", 163, 0, 0, 0, 30, 54, 247
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextInfoDebugTool.cs", "C#", 406, 0, 0, 0, 97, 146, 649
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_A.cs", "C#", 100, 0, 0, 0, 17, 41, 158
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_B.cs", "C#", 250, 0, 0, 0, 191, 107, 548
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_UiFrameRateCounter.cs", "C#", 96, 0, 0, 0, 1, 28, 125
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\TMPro_InstructionOverlay.cs", "C#", 55, 0, 0, 0, 6, 24, 85
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\TeleType.cs", "C#", 40, 0, 0, 0, 15, 28, 83
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\TextConsoleSimulator.cs", "C#", 79, 0, 0, 0, 13, 29, 121
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshProFloatingText.cs", "C#", 126, 0, 0, 0, 32, 58, 216
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshSpawner.cs", "C#", 46, 0, 0, 0, 13, 21, 80
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexColorCycler.cs", "C#", 48, 0, 0, 0, 13, 24, 85
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexJitter.cs", "C#", 105, 0, 0, 0, 26, 44, 175
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeA.cs", "C#", 99, 0, 0, 0, 23, 39, 161
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeB.cs", "C#", 112, 0, 0, 0, 29, 44, 185
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexZoom.cs", "C#", 112, 0, 0, 0, 32, 48, 192
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Examples & Extras\Scripts\WarpTextExample.cs", "C#", 87, 0, 0, 0, 15, 43, 145
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "ShaderLab", 0, 0, 0, 109, 2, 33, 144
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "ShaderLab", 0, 0, 0, 112, 3, 31, 146
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "ShaderLab", 0, 0, 0, 109, 2, 33, 144
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "ShaderLab", 0, 0, 0, 243, 4, 71, 318
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "ShaderLab", 0, 0, 0, 241, 4, 66, 311
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "ShaderLab", 0, 0, 0, 188, 10, 50, 248
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "ShaderLab", 0, 0, 0, 183, 8, 50, 241
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "ShaderLab", 0, 0, 0, 82, 4, 21, 107
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "ShaderLab", 0, 0, 0, 183, 8, 50, 241
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "ShaderLab", 0, 0, 0, 103, 8, 28, 139
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "ShaderLab", 0, 0, 0, 122, 4, 33, 159
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "ShaderLab", 0, 0, 0, 243, 4, 71, 318
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "ShaderLab", 0, 0, 0, 93, 0, 22, 115
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMPro.cginc", "HLSL", 0, 63, 0, 0, 2, 20, 85
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "HLSL", 0, 122, 0, 0, 2, 34, 158
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "HLSL", 0, 62, 0, 0, 10, 14, 86
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "HLSL", 0, 76, 0, 0, 7, 19, 102
"e:\Unity Projects\Craven2\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 0, 0, 155, 0, 0, 2, 157
"e:\Unity Projects\Craven2\Assets\Wall.cs", "C#", 74, 0, 0, 0, 0, 18, 92
"Total", "-", 8204, 323, 155, 2011, 1323, 3226, 15242
